"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"SW45";"MXOnly-2.25U-NoLED";1;"SHIFT";;;
2;"SW58";"MXOnly-1U-NoLED";1;"F3";;;
3;"SW49";"MXOnly-1U-NoLED";1;"V";;;
4;"SW17";"MXOnly-1U-NoLED";1;"Q";;;
5;"SW35";"MXOnly-1U-NoLED";1;"F";;;
6;"SW47";"MXOnly-1U-NoLED";1;"X";;;
7;"SW53";"MXOnly-1U-NoLED";1;",<";;;
8;"SW48";"MXOnly-1U-NoLED";1;"C";;;
9;"SW57";"MXOnly-1U-NoLED";1;"UP";;;
10;"SW65";"MXOnly-1U-NoLED";1;"LEFT";;;
11;"SW24";"MXOnly-1U-NoLED";1;"I";;;
12;"SW9";"MXOnly-1U-NoLED";1;"#8";;;
13;"SW28";"MXOnly-1U-NoLED";1;"}]";;;
14;"SW12";"MXOnly-1U-NoLED";1;"-_";;;
15;"SW6";"MXOnly-1U-NoLED";1;"#5";;;
16;"SW66";"MXOnly-1U-NoLED";1;"DOWN";;;
17;"SW60";"ALPS-1.25U";1;"ALT";;;
18;"SW30";"MXOnly-1U-NoLED";1;"F1";;;
19;"SW10";"MXOnly-1U-NoLED";1;"#9";;;
20;"SW31";"MXOnly-1.75U-NoLED";1;"CAPSLOCK";;;
21;"SW38";"MXOnly-1U-NoLED";1;"J";;;
22;"SW67";"MXOnly-1U-NoLED";1;"RIGHT";;;
23;"SW59";"MXOnly-1.5U-NoLED";1;"CTRL";;;
24;"SW8";"MXOnly-1U-NoLED";1;"#7";;;
25;"SW11";"MXOnly-1U-NoLED";1;"#0";;;
26;"SW15";"MXOnly-1U-NoLED";1;"DELETE";;;
27;"SW4";"MXOnly-1U-NoLED";1;"#3";;;
28;"SW52";"MXOnly-1U-NoLED";1;"M";;;
29;"SW43";"MXOnly-2.25U-NoLED";1;"ENTER";;;
30;"SW41";"MXOnly-1U-NoLED";1;";:";;;
31;"SW27";"MXOnly-1U-NoLED";1;"[{";;;
32;"SW64";"MXOnly-1U-NoLED";1;"`~";;;
33;"SW29";"MXOnly-1.5U-NoLED";1;"\|";;;
34;"SW61";"MXOnly-1.25U-NoLED";1;"COMMAND";;;
35;"SW20";"MXOnly-1U-NoLED";1;"R";;;
36;"SW22";"MXOnly-1U-NoLED";1;"Y";;;
37;"SW32";"MXOnly-1U-NoLED";1;"A";;;
38;"SW26";"MXOnly-1U-NoLED";1;"P";;;
39;"SW19";"MXOnly-1U-NoLED";1;"E";;;
40;"SW5";"MXOnly-1U-NoLED";1;"#4";;;
41;"SW23";"MXOnly-1U-NoLED";1;"U";;;
42;"SW50";"MXOnly-1U-NoLED";1;"B";;;
43;"SW13";"MXOnly-1U-NoLED";1;"=+";;;
44;"SW18";"MXOnly-1U-NoLED";1;"W";;;
45;"SW2";"MXOnly-1U-NoLED";1;"#1";;;
46;"SW1";"MXOnly-1U-NoLED";1;"ESC`";;;
47;"SW34";"MXOnly-1U-NoLED";1;"D";;;
48;"SW54";"MXOnly-1U-NoLED";1;".>";;;
49;"SW40";"MXOnly-1U-NoLED";1;"L";;;
50;"SW56";"MXOnly-1.75U-NoLED";1;"FN";;;
51;"SW37";"MXOnly-1U-NoLED";1;"H";;;
52;"SW63";"MXOnly-1U-NoLED";1;"ALT";;;
53;"SW25";"MXOnly-1U-NoLED";1;"O";;;
54;"SW42";"MXOnly-1U-NoLED";1;"'"";;;
55;"SW16";"MXOnly-1.5U-NoLED";1;"TAB";;;
56;"SW39";"MXOnly-1U-NoLED";1;"K";;;
57;"SW3";"MXOnly-1U-NoLED";1;"#2";;;
58;"SW33";"MXOnly-1U-NoLED";1;"S";;;
59;"SW7";"MXOnly-1U-NoLED";1;"#6";;;
60;"SW36";"MXOnly-1U-NoLED";1;"G";;;
61;"SW21";"MXOnly-1U-NoLED";1;"T";;;
62;"SW46";"MXOnly-1U-NoLED";1;"Z";;;
63;"SW51";"MXOnly-1U-NoLED";1;"N";;;
64;"SW44";"MXOnly-1U-NoLED";1;"F2";;;
65;"SW55";"MXOnly-1U-NoLED";1;"/?";;;
66;"SW14";"MXOnly-2U-NoLED";1;"BACKSPACE";;;
67;"D5,D19,D32,D56,D57,D15,D25,D21,D65,D31,D41,D63,D1,D58,D12,D29,D49,D20,D13,D38,D36,D23,D55,D42,D40,D37,D16,D43,D59,D67,D7,D48,D18,D60,D34,D53,D17,D27,D45,D4,D46,D61,D14,D39,D35,D24,D10,D11,D33,D47,D22,D6,D50,D44,D28,D54,D8,D52,D66,D26,D9,D64,D62,D30,D3,D2,D51";"D_SOD-123";67;"D";;;
68;"R2,R1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"10k";;;
69;"R3,R4";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"22";;;
70;"U1";"TQFP-44_10x10mm_P0.8mm";1;"ATmega32U4-A";;;
71;"C3,C2";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"22p";;;
72;"U2";"SOT143B";1;"PRTR5V0U2X";;;
73;"F1";"Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"500m";;;
74;"C6,C5,C7,C4";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";4;"0.1u";;;
75;"FB1";"L_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"60@100MHz";;;
76;"R5,R6";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"5.1k";;;
77;"C8";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"10u";;;
78;"C1";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"1u";;;
79;"USB1";"HRO-TYPE-C-31-M-12-HandSoldering";1;"HRO-TYPE-C-31-M-12";;;
80;"J1";"Reset_Pretty-Mask";1;"AVR-ISP-6";;;
81;"SW68";"SW_SPST_SKQG_WithStem";1;"SW_Push_Reset";;;
82;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering";1;"XTAL";;;
83;"SW62";"MXOnly-7U-ReversedStabilizers-NoLED";1;"SPACE";;;
